NAME,B18101_001E,B18101_004E,B18101_007E,B18101_010E,B18101_013E,B18101_016E,B18101_019E,B18101_023E,B18101_026E,B18101_029E,B18101_032E,B18101_035E,B18101_038E,state,county,tract
Census Tract 75; Bronx County; New York,6543,0,60,27,27,60,0,0,0,194,368,169,253,36,005,007500
Census Tract 76; Bronx County; New York,5317,0,35,102,93,30,44,0,0,16,109,102,35,36,005,007600
Census Tract 77; Bronx County; New York,1996,0,45,49,42,29,26,0,0,35,141,21,58,36,005,007700
Census Tract 78; Bronx County; New York,5858,0,98,0,207,57,19,0,0,14,179,46,116,36,005,007800
Census Tract 79; Bronx County; New York,6987,0,146,97,168,15,136,0,133,83,341,147,240,36,005,007900
Census Tract 83; Bronx County; New York,6588,0,58,22,74,131,42,0,53,71,317,119,110,36,005,008300
Census Tract 84; Bronx County; New York,2716,0,10,103,110,65,44,0,0,14,95,22,100,36,005,008400
Census Tract 85; Bronx County; New York,5665,0,19,30,112,32,94,0,67,191,287,48,128,36,005,008500
Census Tract 86; Bronx County; New York,4117,0,35,89,138,0,185,0,54,34,331,200,163,36,005,008600
Census Tract 87; Bronx County; New York,6194,9,83,131,147,47,58,0,14,17,317,161,205,36,005,008700
Census Tract 89; Bronx County; New York,2989,0,137,93,201,2,23,0,1,0,78,42,220,36,005,008900
Census Tract 90; Bronx County; New York,3593,0,43,44,124,30,111,0,0,54,200,224,140,36,005,009000
Census Tract 92; Bronx County; New York,5675,0,21,59,57,135,53,0,48,29,140,59,44,36,005,009200
Census Tract 93.01; Bronx County; New York,5547,0,50,205,221,0,27,0,63,12,227,25,130,36,005,009301
Census Tract 93.02; Bronx County; New York,84,0,0,0,42,28,14,0,0,0,0,0,0,36,005,009302
Census Tract 96; Bronx County; New York,2120,0,50,0,23,22,35,0,0,28,55,10,49,36,005,009600
Census Tract 98; Bronx County; New York,4634,0,0,27,2,113,102,0,0,0,158,34,495,36,005,009800
Census Tract 110; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,011000
Census Tract 115.02; Bronx County; New York,3850,0,18,69,114,29,33,0,38,166,224,84,48,36,005,011502
Census Tract 117.01; Bronx County; New York,1318,0,0,29,39,17,0,0,18,5,35,0,21,36,005,011701
Census Tract 117.02; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,011702
Census Tract 118; Bronx County; New York,5491,0,72,8,162,51,84,0,35,39,122,75,109,36,005,011800
Census Tract 119; Bronx County; New York,5837,0,117,52,67,104,37,24,129,100,317,135,55,36,005,011900
Census Tract 121.01; Bronx County; New York,3390,0,25,73,122,33,6,0,54,44,149,94,22,36,005,012101
Census Tract 121.02; Bronx County; New York,1495,0,0,44,99,0,0,0,34,11,105,125,33,36,005,012102
Census Tract 123; Bronx County; New York,4092,0,0,9,157,75,46,0,0,78,244,100,64,36,005,012300
Census Tract 125; Bronx County; New York,4146,0,39,32,100,25,53,0,70,0,95,15,0,36,005,012500
Census Tract 127.01; Bronx County; New York,2385,0,51,0,88,9,54,0,53,14,171,8,40,36,005,012701
Census Tract 129.01; Bronx County; New York,5238,0,229,17,295,82,65,0,22,161,486,11,63,36,005,012901
Census Tract 130; Bronx County; New York,1329,0,0,8,42,41,53,0,0,0,57,7,40,36,005,013000
Census Tract 131; Bronx County; New York,5210,0,32,8,136,140,101,0,188,16,464,111,94,36,005,013100
Census Tract 132; Bronx County; New York,7126,0,0,126,395,52,251,0,0,126,409,152,194,36,005,013200
Census Tract 133; Bronx County; New York,5838,0,34,89,91,73,96,0,0,122,316,94,219,36,005,013300
Census Tract 135; Bronx County; New York,3295,0,0,0,94,0,110,0,0,0,64,144,115,36,005,013500
Census Tract 138; Bronx County; New York,2957,0,0,18,109,48,59,0,19,18,171,109,131,36,005,013800
Census Tract 141; Bronx County; New York,6864,0,92,36,235,105,46,25,0,77,398,51,24,36,005,014100
Census Tract 143; Bronx County; New York,1685,0,0,0,132,31,18,0,0,43,153,23,7,36,005,014300
Census Tract 144; Bronx County; New York,6465,0,0,55,142,4,178,0,42,0,418,205,278,36,005,014400
Census Tract 145; Bronx County; New York,6341,0,116,31,323,192,123,0,59,14,488,70,83,36,005,014500
Census Tract 147.01; Bronx County; New York,5151,0,0,0,113,108,32,0,108,303,343,198,230,36,005,014701
Census Tract 147.02; Bronx County; New York,4985,0,77,10,243,53,67,0,0,110,273,57,37,36,005,014702
Census Tract 149; Bronx County; New York,4656,0,72,0,159,31,24,0,0,26,172,168,0,36,005,014900
Census Tract 151; Bronx County; New York,5392,0,17,127,715,36,62,0,43,38,232,212,129,36,005,015100
Census Tract 152; Bronx County; New York,2601,0,8,72,52,9,22,0,24,70,77,38,36,36,005,015200
Census Tract 153; Bronx County; New York,3502,0,85,16,205,0,42,0,44,16,122,208,16,36,005,015300
Census Tract 155; Bronx County; New York,3154,0,33,26,110,39,34,0,28,59,166,34,161,36,005,015500
Census Tract 157; Bronx County; New York,5959,0,34,72,208,57,13,0,50,4,274,48,62,36,005,015700
Census Tract 158; Bronx County; New York,1625,0,27,16,22,0,24,0,19,24,104,8,63,36,005,015800
Census Tract 159; Bronx County; New York,2149,0,0,107,87,24,68,0,78,83,69,47,35,36,005,015900
Census Tract 160; Bronx County; New York,4063,0,0,170,67,35,21,0,134,38,154,51,112,36,005,016000
Census Tract 161; Bronx County; New York,4789,0,15,73,298,5,0,0,61,18,219,209,223,36,005,016100
Census Tract 162; Bronx County; New York,1621,0,0,37,38,9,8,0,0,22,12,40,22,36,005,016200
Census Tract 163; Bronx County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,36,005,016300
Census Tract 164; Bronx County; New York,1107,0,0,0,7,17,25,0,0,8,30,8,65,36,005,016400
Census Tract 165; Bronx County; New York,1233,0,0,13,36,0,13,0,3,26,24,0,25,36,005,016500
Census Tract 166; Bronx County; New York,2387,0,16,36,73,17,28,0,0,66,123,24,10,36,005,016600
Census Tract 167; Bronx County; New York,3203,0,0,46,84,0,0,0,0,16,215,39,66,36,005,016700
