NAME,B18101_001E,B18101_004E,B18101_007E,B18101_010E,B18101_013E,B18101_016E,B18101_019E,B18101_023E,B18101_026E,B18101_029E,B18101_032E,B18101_035E,B18101_038E,state,county,tract
Census Tract 258; Kings County; New York,4482,0,0,0,110,26,77,0,0,19,72,57,94,36,047,025800
Census Tract 259.01; Kings County; New York,2163,0,0,14,25,13,7,0,0,2,72,0,0,36,047,025901
Census Tract 259.02; Kings County; New York,3611,0,34,45,15,0,52,0,0,14,282,87,153,36,047,025902
Census Tract 260; Kings County; New York,3076,0,0,10,80,23,17,0,0,30,106,66,57,36,047,026000
Census Tract 261; Kings County; New York,5455,0,0,105,101,0,0,0,63,31,130,83,36,36,047,026100
Census Tract 262; Kings County; New York,2622,0,0,6,93,28,12,0,16,12,37,0,11,36,047,026200
Census Tract 263; Kings County; New York,2270,0,0,0,8,16,0,0,0,0,57,7,25,36,047,026300
Census Tract 264; Kings County; New York,4732,0,8,23,97,11,7,0,0,0,78,52,7,36,047,026400
Census Tract 265; Kings County; New York,4159,0,0,14,0,10,46,0,0,0,56,63,69,36,047,026500
Census Tract 266; Kings County; New York,3390,0,0,34,0,67,0,0,0,0,12,20,36,36,047,026600
Census Tract 267; Kings County; New York,3836,0,26,4,21,56,52,0,0,0,1,23,139,36,047,026700
Census Tract 268; Kings County; New York,4277,0,0,13,35,23,162,0,0,6,19,28,50,36,047,026800
Census Tract 269; Kings County; New York,3124,0,0,34,109,85,0,0,0,17,61,30,0,36,047,026900
Census Tract 270; Kings County; New York,2496,0,28,0,42,48,31,0,0,0,29,60,92,36,047,027000
Census Tract 271; Kings County; New York,3713,0,14,49,67,45,6,0,12,0,57,42,45,36,047,027100
Census Tract 272; Kings County; New York,3993,0,0,0,64,8,173,0,14,0,39,100,117,36,047,027200
Census Tract 273; Kings County; New York,4068,0,0,0,53,0,42,0,25,17,187,145,61,36,047,027300
Census Tract 274; Kings County; New York,3154,0,0,14,10,35,49,0,0,3,81,25,303,36,047,027400
Census Tract 275; Kings County; New York,5290,0,8,0,222,0,0,0,132,11,96,147,131,36,047,027500
Census Tract 276; Kings County; New York,3791,0,0,0,73,15,26,0,0,0,13,62,68,36,047,027600
Census Tract 277; Kings County; New York,4291,0,0,113,61,0,0,0,23,28,211,106,60,36,047,027700
Census Tract 278; Kings County; New York,3086,0,0,0,77,20,0,0,33,0,57,41,94,36,047,027800
Census Tract 279; Kings County; New York,4154,0,54,0,28,1,12,0,16,161,17,7,70,36,047,027900
Census Tract 280; Kings County; New York,1686,0,0,1,11,11,8,0,0,0,0,16,47,36,047,028000
Census Tract 281; Kings County; New York,5090,0,0,31,83,58,0,0,55,25,218,64,57,36,047,028100
Census Tract 282; Kings County; New York,2960,0,0,0,55,79,24,0,0,43,25,4,179,36,047,028200
Census Tract 283; Kings County; New York,4092,0,73,0,236,54,42,0,8,30,207,108,59,36,047,028300
Census Tract 284; Kings County; New York,3686,0,0,74,13,9,16,0,105,0,51,69,110,36,047,028400
Census Tract 285.01; Kings County; New York,410,0,0,1,27,0,0,0,0,7,30,0,0,36,047,028501
Census Tract 285.02; Kings County; New York,3303,0,15,24,188,51,0,0,0,0,206,184,173,36,047,028502
Census Tract 286; Kings County; New York,5171,0,29,20,28,72,134,0,56,84,261,128,222,36,047,028600
Census Tract 287; Kings County; New York,3353,0,0,22,55,0,0,0,0,74,188,0,28,36,047,028700
Census Tract 288; Kings County; New York,3799,0,23,7,12,30,18,0,0,0,10,167,34,36,047,028800
Census Tract 289; Kings County; New York,4261,0,19,0,60,70,42,0,0,0,80,61,143,36,047,028900
Census Tract 290; Kings County; New York,3301,0,63,0,6,27,130,0,0,0,100,61,261,36,047,029000
Census Tract 291; Kings County; New York,3368,0,0,0,123,0,37,0,0,0,123,58,48,36,047,029100
Census Tract 292; Kings County; New York,2668,0,0,10,83,0,70,0,0,0,57,129,107,36,047,029200
Census Tract 293; Kings County; New York,3284,0,26,6,45,58,70,0,0,29,161,53,70,36,047,029300
Census Tract 294; Kings County; New York,1708,0,6,33,72,48,26,0,0,9,43,9,32,36,047,029400
Census Tract 295; Kings County; New York,4011,0,0,23,55,0,24,0,0,114,32,0,52,36,047,029500
Census Tract 296; Kings County; New York,6128,0,0,13,13,38,36,0,0,64,60,59,203,36,047,029600
Census Tract 297; Kings County; New York,4099,0,40,18,129,16,48,0,0,25,182,25,182,36,047,029700
Census Tract 298; Kings County; New York,3997,0,9,0,97,30,28,0,0,0,40,14,18,36,047,029800
Census Tract 299; Kings County; New York,2278,0,11,0,21,7,0,0,0,0,96,41,35,36,047,029900
Census Tract 300; Kings County; New York,4222,0,0,7,91,73,0,0,0,0,64,30,45,36,047,030000
Census Tract 301; Kings County; New York,3181,0,12,32,78,68,0,0,0,29,32,10,44,36,047,030100
Census Tract 302; Kings County; New York,3899,0,0,0,94,19,52,0,0,0,28,108,30,36,047,030200
Census Tract 303; Kings County; New York,5740,0,0,101,133,0,23,0,0,19,223,181,144,36,047,030300
Census Tract 304; Kings County; New York,3924,0,0,55,65,26,175,0,0,2,106,30,180,36,047,030400
Census Tract 305; Kings County; New York,6909,0,0,0,68,67,0,0,0,0,324,0,109,36,047,030500
Census Tract 306; Kings County; New York,1949,0,14,0,89,16,18,0,0,41,67,21,44,36,047,030600
Census Tract 307; Kings County; New York,6571,0,26,50,284,81,82,0,0,26,254,27,229,36,047,030700
Census Tract 308; Kings County; New York,1678,0,15,14,9,38,22,0,0,0,30,35,48,36,047,030800
Census Tract 309; Kings County; New York,2447,0,41,8,12,8,0,0,0,116,93,35,81,36,047,030900
Census Tract 311; Kings County; New York,3389,0,0,13,114,2,4,0,29,15,139,50,57,36,047,031100
Census Tract 313; Kings County; New York,4317,0,0,0,187,0,144,0,0,69,137,228,71,36,047,031300
Census Tract 314.01; Kings County; New York,4934,0,0,8,25,39,47,0,95,2,111,115,375,36,047,031401
Census Tract 314.02; Kings County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,36,047,031402
Census Tract 315; Kings County; New York,5136,0,0,38,10,0,21,0,30,162,89,0,60,36,047,031500
Census Tract 317.01; Kings County; New York,4150,0,0,6,115,0,0,0,0,68,84,11,64,36,047,031701
Census Tract 317.02; Kings County; New York,3812,0,0,16,12,23,106,0,27,0,127,7,21,36,047,031702
Census Tract 319; Kings County; New York,3356,0,7,0,34,29,5,0,0,0,47,30,36,36,047,031900
Census Tract 321; Kings County; New York,5134,0,0,104,69,0,0,0,92,59,197,123,28,36,047,032100
Census Tract 323; Kings County; New York,3505,0,22,11,76,0,61,0,0,0,93,71,62,36,047,032300
Census Tract 325; Kings County; New York,5982,0,0,111,121,28,105,0,0,123,17,0,193,36,047,032500
Census Tract 326; Kings County; New York,10079,0,302,0,157,21,47,0,0,74,529,98,81,36,047,032600
Census Tract 327; Kings County; New York,2701,0,0,0,5,38,0,0,0,19,42,0,83,36,047,032700
Census Tract 328; Kings County; New York,2749,0,34,6,12,72,44,0,27,0,107,216,27,36,047,032800
Census Tract 329; Kings County; New York,5901,0,52,0,75,0,20,0,0,76,115,157,114,36,047,032900
Census Tract 330; Kings County; New York,4283,0,38,15,178,53,22,0,39,12,197,248,225,36,047,033000
Census Tract 331; Kings County; New York,4171,0,73,0,35,58,39,0,0,0,24,126,103,36,047,033100
Census Tract 333; Kings County; New York,4779,0,31,16,0,48,41,0,0,0,68,30,59,36,047,033300
Census Tract 335; Kings County; New York,3522,0,27,31,27,24,34,0,9,12,7,9,114,36,047,033500
Census Tract 336; Kings County; New York,4727,0,0,15,105,2,64,0,0,23,54,75,114,36,047,033600
Census Tract 337.01; Kings County; New York,2755,0,50,4,34,0,87,0,11,18,9,0,112,36,047,033701
Census Tract 337.02; Kings County; New York,1827,0,0,13,0,0,36,0,0,0,7,59,84,36,047,033702
Census Tract 339; Kings County; New York,4932,0,0,44,157,0,48,0,0,0,46,160,146,36,047,033900
Census Tract 340; Kings County; New York,1554,0,0,49,38,29,54,0,0,0,82,120,57,36,047,034000
Census Tract 341; Kings County; New York,2432,0,0,19,71,0,0,0,0,72,36,92,9,36,047,034100
Census Tract 342; Kings County; New York,6407,0,49,114,34,58,425,0,0,14,119,136,792,36,047,034200
Census Tract 343; Kings County; New York,4489,0,53,15,198,46,53,0,19,177,200,134,62,36,047,034300
Census Tract 345; Kings County; New York,2664,0,0,0,19,31,0,0,19,55,18,17,81,36,047,034500
Census Tract 347; Kings County; New York,3157,0,14,44,22,17,19,0,63,86,176,86,59,36,047,034700
Census Tract 348; Kings County; New York,2852,14,0,12,62,4,0,0,0,0,67,10,14,36,047,034800
Census Tract 349.01; Kings County; New York,2302,0,41,0,0,17,0,0,0,0,0,32,0,36,047,034901
Census Tract 349.02; Kings County; New York,3499,0,0,0,68,17,0,0,0,0,0,9,114,36,047,034902
Census Tract 350; Kings County; New York,3082,0,61,52,193,97,103,0,0,16,77,168,158,36,047,035000
Census Tract 351.01; Kings County; New York,1805,0,0,0,34,5,8,0,0,42,70,29,40,36,047,035101
Census Tract 351.02; Kings County; New York,3253,0,0,39,39,44,53,0,0,5,154,58,121,36,047,035102
Census Tract 352; Kings County; New York,1104,0,0,21,70,0,72,0,21,55,89,43,260,36,047,035200
Census Tract 353.01; Kings County; New York,3002,0,0,0,65,0,0,0,0,13,99,35,26,36,047,035301
Census Tract 353.02; Kings County; New York,3184,0,27,0,127,17,40,0,0,0,83,80,89,36,047,035302
Census Tract 354; Kings County; New York,5366,0,28,26,52,129,358,0,0,45,155,181,515,36,047,035400
Census Tract 355; Kings County; New York,5515,0,0,49,210,19,0,0,38,15,239,105,53,36,047,035500
Census Tract 356.01; Kings County; New York,2640,0,0,0,85,47,148,0,0,0,86,199,213,36,047,035601
Census Tract 356.02; Kings County; New York,6721,0,0,0,10,101,288,0,0,0,123,200,363,36,047,035602
Census Tract 357.01; Kings County; New York,2657,0,24,26,89,0,0,0,26,0,172,23,31,36,047,035701
Census Tract 357.02; Kings County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,36,047,035702
Census Tract 359; Kings County; New York,6656,0,0,50,225,79,21,0,0,0,188,103,121,36,047,035900
Census Tract 360.01; Kings County; New York,2972,0,0,19,30,61,138,0,33,0,6,69,367,36,047,036001
Census Tract 360.02; Kings County; New York,3772,0,19,0,29,74,207,0,0,41,82,280,749,36,047,036002
Census Tract 361; Kings County; New York,2902,0,0,15,196,102,0,0,0,47,162,81,182,36,047,036100
Census Tract 362; Kings County; New York,3343,0,15,0,90,57,31,0,46,0,42,89,40,36,047,036200
Census Tract 363; Kings County; New York,4909,0,0,37,49,68,27,0,0,97,273,31,23,36,047,036300
Census Tract 364; Kings County; New York,2298,0,0,12,69,6,1,0,0,1,5,29,77,36,047,036400
Census Tract 365.01; Kings County; New York,3467,0,23,47,122,92,33,0,23,29,130,32,130,36,047,036501
Census Tract 365.02; Kings County; New York,2013,0,0,0,107,7,0,0,21,0,22,0,27,36,047,036502
Census Tract 366; Kings County; New York,4145,0,22,18,10,62,20,0,0,0,57,53,60,36,047,036600
Census Tract 367; Kings County; New York,1982,0,0,82,84,37,0,0,0,0,27,0,0,36,047,036700
Census Tract 369; Kings County; New York,5296,0,0,22,233,64,46,0,0,53,178,0,128,36,047,036900
Census Tract 370; Kings County; New York,3987,0,0,0,77,27,88,0,46,14,48,81,56,36,047,037000
Census Tract 371; Kings County; New York,4723,0,12,70,133,0,0,0,0,29,147,0,0,36,047,037100
Census Tract 373; Kings County; New York,5258,0,0,25,151,32,48,0,0,18,126,64,77,36,047,037300
Census Tract 374.01; Kings County; New York,4646,0,42,71,63,53,57,0,0,44,142,141,217,36,047,037401
Census Tract 374.02; Kings County; New York,5449,0,0,0,0,188,81,0,88,0,131,123,258,36,047,037402
Census Tract 375; Kings County; New York,3640,0,22,26,135,76,0,0,49,47,94,24,47,36,047,037500
Census Tract 377; Kings County; New York,4893,0,20,67,70,38,11,0,21,38,26,50,169,36,047,037700
Census Tract 379; Kings County; New York,4834,0,0,48,99,27,56,0,0,30,146,31,57,36,047,037900
Census Tract 381; Kings County; New York,5612,0,10,0,157,68,73,0,44,28,81,181,180,36,047,038100
Census Tract 382; Kings County; New York,5257,0,189,12,55,106,101,0,66,21,261,129,283,36,047,038200
Census Tract 383; Kings County; New York,5456,0,0,0,0,50,72,0,0,45,42,104,153,36,047,038300
Census Tract 385; Kings County; New York,3895,0,0,30,32,72,48,0,0,37,106,62,43,36,047,038500
Census Tract 386; Kings County; New York,3093,0,0,5,92,48,0,0,0,0,28,37,29,36,047,038600
Census Tract 387; Kings County; New York,4827,0,0,53,29,64,62,0,0,37,30,0,51,36,047,038700
Census Tract 388; Kings County; New York,4999,0,45,24,32,16,0,0,31,0,119,7,69,36,047,038800
Census Tract 389; Kings County; New York,2829,0,20,16,49,104,0,0,0,33,34,14,0,36,047,038900
Census Tract 390; Kings County; New York,2672,0,0,31,47,22,21,0,0,5,16,34,43,36,047,039000
Census Tract 391; Kings County; New York,5243,0,0,14,114,65,0,0,0,125,244,51,110,36,047,039100
Census Tract 392; Kings County; New York,3441,0,9,13,4,0,69,0,0,0,38,11,45,36,047,039200
Census Tract 393; Kings County; New York,3868,0,0,46,69,5,0,0,0,74,74,0,37,36,047,039300
Census Tract 394; Kings County; New York,2076,0,0,10,51,13,36,0,0,0,41,42,36,36,047,039400
Census Tract 395; Kings County; New York,3845,0,0,33,126,0,49,0,0,75,11,41,128,36,047,039500
Census Tract 396; Kings County; New York,1987,0,38,44,116,0,10,0,0,0,118,10,31,36,047,039600
Census Tract 397; Kings County; New York,3316,0,0,96,62,0,0,0,0,12,65,25,82,36,047,039700
Census Tract 398; Kings County; New York,2855,0,0,8,30,52,14,0,0,13,27,18,30,36,047,039800
Census Tract 399; Kings County; New York,4164,0,81,20,104,31,13,0,0,29,104,126,125,36,047,039900
Census Tract 400; Kings County; New York,2192,0,9,0,24,20,43,0,0,0,19,48,42,36,047,040000
Census Tract 401; Kings County; New York,3544,0,0,12,31,0,31,0,0,33,52,43,161,36,047,040100
Census Tract 402; Kings County; New York,2570,0,0,13,5,6,21,5,0,0,29,32,6,36,047,040200
Census Tract 403; Kings County; New York,4082,0,0,108,52,18,23,0,0,101,60,64,68,36,047,040300
Census Tract 404; Kings County; New York,2615,0,29,4,20,7,44,0,0,11,27,21,55,36,047,040400
Census Tract 405; Kings County; New York,1391,0,0,22,13,30,9,0,0,0,50,10,47,36,047,040500
Census Tract 406; Kings County; New York,3924,0,0,0,9,36,97,0,0,10,15,58,113,36,047,040600
Census Tract 407; Kings County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,36,047,040700
Census Tract 408; Kings County; New York,3724,0,0,11,80,0,32,0,0,23,198,65,43,36,047,040800
Census Tract 409; Kings County; New York,3858,0,0,54,40,16,10,0,17,47,80,0,212,36,047,040900
Census Tract 410; Kings County; New York,1650,0,0,0,16,31,24,0,0,20,22,30,48,36,047,041000
Census Tract 411; Kings County; New York,3001,0,0,0,49,98,0,0,0,22,17,11,0,36,047,041100
Census Tract 412; Kings County; New York,3164,0,10,0,61,34,9,0,19,0,21,33,111,36,047,041200
Census Tract 413; Kings County; New York,3620,0,45,23,22,0,71,0,0,20,87,23,93,36,047,041300
Census Tract 414.01; Kings County; New York,1182,0,0,0,6,0,0,0,0,0,0,7,19,36,047,041401
Census Tract 414.02; Kings County; New York,2111,0,34,18,48,0,80,0,68,15,33,50,119,36,047,041402
Census Tract 415; Kings County; New York,4291,0,22,0,25,0,38,0,20,36,73,69,82,36,047,041500
Census Tract 416; Kings County; New York,2105,0,0,25,10,38,18,0,50,16,5,66,63,36,047,041600
Census Tract 417; Kings County; New York,3390,0,0,60,47,0,164,0,0,0,191,40,185,36,047,041700
Census Tract 418; Kings County; New York,2790,0,28,8,18,101,61,0,14,21,9,53,93,36,047,041800
Census Tract 419; Kings County; New York,3417,0,6,26,62,0,35,0,37,95,172,46,143,36,047,041900
Census Tract 420; Kings County; New York,1727,0,20,0,10,10,18,0,0,5,7,46,33,36,047,042000
Census Tract 421; Kings County; New York,4089,0,14,11,193,27,0,0,23,70,99,45,21,36,047,042100
Census Tract 422; Kings County; New York,3102,0,0,33,6,31,66,0,0,0,64,19,17,36,047,042200
Census Tract 423; Kings County; New York,4112,0,0,29,74,5,20,0,0,47,83,27,6,36,047,042300
Census Tract 424; Kings County; New York,3401,0,0,11,25,33,11,0,0,6,70,69,59,36,047,042400
Census Tract 425; Kings County; New York,2903,0,19,74,77,12,0,0,0,27,68,0,22,36,047,042500
Census Tract 426; Kings County; New York,4410,0,0,21,64,36,9,0,8,0,13,68,101,36,047,042600
Census Tract 427; Kings County; New York,4215,0,0,66,18,0,39,0,0,70,0,0,0,36,047,042700
Census Tract 428; Kings County; New York,3852,20,0,0,62,6,110,0,0,0,12,31,105,36,047,042800
Census Tract 429; Kings County; New York,5074,0,14,112,64,120,0,0,0,70,132,31,0,36,047,042900
Census Tract 430; Kings County; New York,3668,0,0,13,63,23,76,0,8,0,36,33,219,36,047,043000
Census Tract 431; Kings County; New York,4023,0,0,39,105,47,0,0,0,69,98,71,0,36,047,043100
Census Tract 432; Kings County; New York,4098,0,0,1,71,29,42,0,0,0,91,64,95,36,047,043200
Census Tract 433; Kings County; New York,3621,0,32,23,101,105,71,0,0,55,174,13,33,36,047,043300
Census Tract 434; Kings County; New York,4061,0,0,0,54,11,57,0,9,32,73,69,67,36,047,043400
Census Tract 435; Kings County; New York,4971,0,19,20,88,0,6,0,0,0,149,56,31,36,047,043500
Census Tract 436; Kings County; New York,4591,0,11,24,63,2,87,0,0,5,75,15,202,36,047,043600
Census Tract 437; Kings County; New York,5228,0,0,46,54,36,49,0,0,61,16,64,18,36,047,043700
Census Tract 438; Kings County; New York,2383,0,0,0,21,28,59,0,0,0,0,43,134,36,047,043800
Census Tract 439; Kings County; New York,4045,0,0,0,11,61,104,0,51,34,48,60,13,36,047,043900
Census Tract 440; Kings County; New York,2646,0,0,42,20,38,23,0,21,18,46,27,27,36,047,044000
Census Tract 441; Kings County; New York,4877,0,0,24,37,8,0,0,27,133,26,0,16,36,047,044100
Census Tract 442; Kings County; New York,2379,0,0,0,33,21,25,0,25,5,26,12,131,36,047,044200
Census Tract 443; Kings County; New York,4272,0,0,30,20,0,55,0,0,33,52,87,48,36,047,044300
Census Tract 444; Kings County; New York,3084,0,0,0,1,64,37,0,0,31,45,38,11,36,047,044400
Census Tract 445; Kings County; New York,3956,0,0,62,96,109,4,0,27,61,129,48,72,36,047,044500
Census Tract 446; Kings County; New York,2034,0,0,5,17,13,35,0,0,0,0,0,15,36,047,044600
Census Tract 447; Kings County; New York,2470,0,7,42,102,27,9,0,0,10,67,0,5,36,047,044700
Census Tract 448; Kings County; New York,1787,0,0,11,27,25,0,0,0,22,36,35,103,36,047,044800
Census Tract 449.01; Kings County; New York,2567,0,0,0,41,0,0,0,0,22,154,50,59,36,047,044901
Census Tract 449.02; Kings County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,36,047,044902
Census Tract 450; Kings County; New York,863,0,0,0,44,13,15,0,0,0,4,0,38,36,047,045000
Census Tract 452; Kings County; New York,2640,0,0,0,31,13,24,0,0,4,51,8,72,36,047,045200
Census Tract 453; Kings County; New York,1938,0,0,24,52,0,56,0,0,62,5,0,5,36,047,045300
Census Tract 454; Kings County; New York,1951,0,0,81,12,16,54,0,10,0,8,6,18,36,047,045400
Census Tract 456; Kings County; New York,2245,0,0,3,23,81,59,0,28,20,164,74,75,36,047,045600
Census Tract 458; Kings County; New York,1132,0,0,0,21,8,11,0,0,0,9,33,25,36,047,045800
Census Tract 460; Kings County; New York,3335,0,0,0,3,69,10,0,0,14,16,10,148,36,047,046000
Census Tract 462.01; Kings County; New York,2575,0,0,0,26,88,119,0,0,0,11,63,186,36,047,046201
Census Tract 462.02; Kings County; New York,1847,0,0,0,6,0,9,0,21,0,13,0,36,36,047,046202
Census Tract 464; Kings County; New York,2768,0,0,0,42,45,30,0,20,2,7,10,45,36,047,046400
Census Tract 468; Kings County; New York,2215,0,0,13,35,0,9,0,0,0,8,0,7,36,047,046800
Census Tract 470; Kings County; New York,2486,0,0,7,22,15,5,0,10,5,6,27,15,36,047,047000
Census Tract 472; Kings County; New York,2899,0,0,0,7,46,32,5,0,0,2,55,59,36,047,047200
Census Tract 474; Kings County; New York,2974,0,0,31,52,19,15,0,0,0,42,6,68,36,047,047400
Census Tract 476; Kings County; New York,3839,0,0,0,0,0,23,0,0,50,0,19,76,36,047,047600
Census Tract 477; Kings County; New York,4102,0,0,0,50,25,17,0,0,0,3,0,15,36,047,047700
Census Tract 478; Kings County; New York,5164,0,0,0,33,13,34,0,0,4,28,0,133,36,047,047800
Census Tract 480; Kings County; New York,3534,0,0,56,66,11,33,0,0,16,87,130,153,36,047,048000
Census Tract 481; Kings County; New York,2902,0,0,40,9,24,25,0,67,34,50,63,60,36,047,048100
Census Tract 482; Kings County; New York,5455,0,0,46,208,37,58,0,0,0,190,132,228,36,047,048200
Census Tract 484; Kings County; New York,5362,0,0,0,117,32,46,0,0,54,39,12,158,36,047,048400
Census Tract 485; Kings County; New York,2371,0,2,61,43,0,0,0,0,7,69,49,0,36,047,048500
Census Tract 486; Kings County; New York,3200,0,30,13,39,27,0,0,0,0,74,40,62,36,047,048600
Census Tract 488; Kings County; New York,4053,0,72,30,44,7,19,0,19,15,76,82,90,36,047,048800
Census Tract 489; Kings County; New York,3228,0,126,35,66,0,21,0,0,81,147,200,52,36,047,048900
Census Tract 490; Kings County; New York,5261,0,87,0,166,14,44,0,37,4,121,22,226,36,047,049000
Census Tract 491; Kings County; New York,7170,0,0,53,134,255,113,0,27,0,244,106,293,36,047,049100
Census Tract 492; Kings County; New York,2734,0,14,0,251,31,71,0,0,12,127,73,93,36,047,049200
Census Tract 493.01; Kings County; New York,2169,0,17,18,43,0,69,0,235,104,161,41,146,36,047,049301
Census Tract 493.02; Kings County; New York,4691,0,22,0,167,156,0,0,22,21,140,260,103,36,047,049302
Census Tract 494; Kings County; New York,5309,0,1,57,42,6,7,0,0,18,273,31,39,36,047,049400
Census Tract 495; Kings County; New York,2939,0,0,16,28,0,0,0,0,0,139,0,0,36,047,049500
Census Tract 496; Kings County; New York,4006,0,58,55,96,0,70,0,0,14,89,22,61,36,047,049600
Census Tract 497; Kings County; New York,3272,0,24,39,0,26,39,0,0,19,42,23,49,36,047,049700
Census Tract 498; Kings County; New York,4163,0,67,8,14,1,24,0,22,0,71,57,68,36,047,049800
Census Tract 499; Kings County; New York,2285,0,0,0,24,0,0,0,0,11,16,0,20,36,047,049900
Census Tract 500.01; Kings County; New York,2279,0,0,0,44,8,117,0,0,17,88,5,101,36,047,050001
Census Tract 500.02; Kings County; New York,1726,0,40,0,62,0,20,0,5,0,10,16,28,36,047,050002
Census Tract 501; Kings County; New York,3089,0,0,11,0,0,41,0,4,10,28,0,98,36,047,050100
Census Tract 502.02; Kings County; New York,2281,0,0,0,22,173,26,0,22,0,53,42,147,36,047,050202
Census Tract 503; Kings County; New York,3044,0,0,22,81,0,12,0,0,0,86,12,25,36,047,050300
Census Tract 504.01; Kings County; New York,2824,0,0,1,18,20,18,0,0,0,31,76,0,36,047,050401
Census Tract 504.02; Kings County; New York,1935,0,23,14,31,25,8,0,0,0,0,0,66,36,047,050402
Census Tract 505; Kings County; New York,4284,0,10,0,22,36,0,0,0,60,256,41,182,36,047,050500
Census Tract 506; Kings County; New York,5570,0,0,0,60,39,27,0,0,26,92,79,79,36,047,050600
Census Tract 507; Kings County; New York,3869,0,0,0,51,0,2,0,20,0,24,0,3,36,047,050700
Census Tract 508.01; Kings County; New York,3718,0,0,9,17,6,18,0,16,34,125,55,51,36,047,050801
Census Tract 508.03; Kings County; New York,2606,0,0,57,65,30,0,0,0,0,66,51,58,36,047,050803
Census Tract 508.04; Kings County; New York,6765,0,30,63,100,25,68,0,0,55,82,77,18,36,047,050804
Census Tract 509; Kings County; New York,5473,0,18,0,0,43,0,0,40,0,0,0,0,36,047,050900
Census Tract 510.01; Kings County; New York,4652,0,35,18,31,10,13,0,0,80,69,26,45,36,047,051001
Census Tract 510.02; Kings County; New York,4028,0,24,11,66,21,11,0,0,0,72,94,64,36,047,051002
Census Tract 511; Kings County; New York,3922,0,0,55,132,40,19,0,0,0,91,94,23,36,047,051100
Census Tract 512; Kings County; New York,5991,0,0,0,39,0,0,0,32,24,152,87,56,36,047,051200
Census Tract 513; Kings County; New York,5628,0,0,56,4,29,0,0,0,180,202,134,29,36,047,051300
Census Tract 514; Kings County; New York,7214,0,0,46,86,32,59,0,17,31,199,3,54,36,047,051400
Census Tract 515; Kings County; New York,2839,0,0,0,0,0,1,0,0,0,14,0,0,36,047,051500
Census Tract 516.01; Kings County; New York,4824,0,10,19,92,1,123,0,0,71,82,50,62,36,047,051601
Census Tract 516.02; Kings County; New York,3650,0,11,14,0,11,0,0,0,9,36,0,29,36,047,051602
Census Tract 517; Kings County; New York,2853,0,0,31,18,0,1,17,0,21,0,0,13,36,047,051700
Census Tract 518; Kings County; New York,3433,0,26,0,14,36,40,0,0,0,33,46,69,36,047,051800
Census Tract 519; Kings County; New York,5725,0,0,95,51,20,0,0,0,0,45,0,20,36,047,051900
Census Tract 520; Kings County; New York,3544,0,64,7,16,0,20,0,0,0,104,0,8,36,047,052000
Census Tract 523; Kings County; New York,5432,0,47,218,10,0,0,0,0,71,128,100,155,36,047,052300
Census Tract 525; Kings County; New York,3501,0,0,14,67,0,29,0,0,0,148,19,107,36,047,052500
Census Tract 526; Kings County; New York,3839,0,12,12,46,43,64,0,7,32,43,20,13,36,047,052600
Census Tract 527; Kings County; New York,5916,0,82,66,101,98,47,0,0,22,87,80,124,36,047,052700
Census Tract 528; Kings County; New York,1826,0,4,19,7,53,14,0,9,11,26,30,68,36,047,052800
Census Tract 529; Kings County; New York,3109,0,48,17,0,21,35,0,0,0,8,120,0,36,047,052900
Census Tract 530; Kings County; New York,3624,0,0,0,20,138,52,0,13,12,51,83,26,36,047,053000
Census Tract 531.01; Kings County; New York,2629,0,0,37,17,0,0,0,0,0,0,0,0,36,047,053101
Census Tract 531.02; Kings County; New York,6226,0,12,0,43,0,0,0,0,0,104,0,19,36,047,053102
Census Tract 532; Kings County; New York,2296,0,0,20,21,0,36,0,3,18,34,8,87,36,047,053200
Census Tract 533; Kings County; New York,6233,12,25,0,65,22,57,0,37,17,0,22,158,36,047,053300
Census Tract 534; Kings County; New York,4326,0,87,26,121,25,49,0,40,40,79,46,69,36,047,053400
Census Tract 535; Kings County; New York,4275,0,0,18,52,103,22,0,25,0,43,36,14,36,047,053500
Census Tract 537; Kings County; New York,4007,0,45,0,43,28,0,0,0,0,11,14,13,36,047,053700
Census Tract 538; Kings County; New York,5801,0,0,85,123,64,95,0,0,65,171,170,175,36,047,053800
Census Tract 539; Kings County; New York,2552,0,0,60,42,28,118,0,0,15,98,27,21,36,047,053900
Census Tract 542; Kings County; New York,4041,0,58,0,86,94,188,0,0,47,34,116,231,36,047,054200
Census Tract 543; Kings County; New York,0,0,0,0,0,0,0,0,0,0,0,0,0,36,047,054300
Census Tract 544; Kings County; New York,3906,0,0,12,53,158,44,0,18,50,81,155,55,36,047,054400
Census Tract 545; Kings County; New York,7454,0,0,11,145,195,136,0,0,0,19,28,162,36,047,054500
Census Tract 546; Kings County; New York,5207,0,44,152,120,25,64,0,0,128,240,46,96,36,047,054600
Census Tract 547; Kings County; New York,8440,0,89,0,50,57,0,0,46,0,251,79,42,36,047,054700
Census Tract 548; Kings County; New York,2233,0,0,10,24,38,27,0,0,4,1,9,74,36,047,054800
Census Tract 549; Kings County; New York,4617,0,0,28,0,0,26,0,0,30,61,0,35,36,047,054900
Census Tract 550; Kings County; New York,3512,0,70,27,72,11,67,0,0,0,62,50,69,36,047,055000
