PUBLICATION_DATE,NTA_Code,NTA_Name,NTAAbbrev,Baseline,Control_Scenario_Temperature,Planned_Action_Temperature,Percent_Managed_by_Action
5/1/25,QN8291,Forest Park,FrstPk,85.14,90.06,91.53,29.97
5/1/25,QN8381,John F. Kennedy International Airport,JFK,86.6,92.91,92.89,-0.3
5/1/25,QN8491,Jamaica Bay (East),JmcaBy_E,86.37,92.62,92.61,-0.23
5/1/25,QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,JcbRsPk,84.65,90.71,90.7,-0.18
5/1/25,SI0101,St. George-New Brighton,StGrg,85.3,91.33,91.43,1.64
5/1/25,SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,Tkvl_Stptn,86.08,92.15,92.17,0.33
5/1/25,SI0103,Rosebank-Shore Acres-Park Hill,Rsbnk_PkHl,86.21,92.44,92.42,-0.33
5/1/25,SI0104,West New Brighton-Silver Lake-Grymes Hill,WstNwBrgtn,85.65,91.45,91.61,2.72
5/1/25,SI0105,Westerleigh-Castleton Corners,Wstrlgh,85.3,90.99,91.03,0.72
5/1/25,SI0106,Port Richmond,PrtRchmnd,85.04,91.17,91.16,-0.25
5/1/25,SI0107,Mariner's Harbor-Arlington-Graniteville,MrnrsHrbr,85.71,91.75,91.72,-0.5
5/1/25,SI0191,Snug Harbor,SngHrbr,79.26,84.19,84.95,15.53
5/1/25,SI0201,Grasmere-Arrochar-South Beach-Dongan Hills,Grsmr_SBch,85.9,91.98,91.96,-0.26
5/1/25,SI0202,New Dorp-Midland Beach,NwDrp_MBch,86.06,92.19,92.19,-0.05
5/1/25,SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,TdtHl,83.98,88.87,90.64,36.19
5/1/25,SI0204,New Springville-Willowbrook-Bulls Head-Travis,NwSprngvl,85.12,90.89,91,2.02
5/1/25,SI0291,Freshkills Park (North),FrshklPk_N,85.34,91.3,91.41,1.97
5/1/25,SI0301,Oakwood-Richmondtown,Okwd_Rmtwn,85.23,91.11,91.1,-0.19
5/1/25,SI0302,Great Kills-Eltingville,GrtKls_Evl,85.3,91.22,91.24,0.41
5/1/25,SI0303,Arden Heights-Rossville,ArdnHts,84.81,90.29,90.55,4.72
5/1/25,SI0304,Annadale-Huguenot-Prince's Bay-Woodrow,Anndl_Wdrw,84.22,89.17,90.02,17.18
5/1/25,SI0305,Tottenville-Charleston,Tttnvl,84.9,90.44,90.82,6.98
5/1/25,SI0391,Freshkills Park (South),FrshklPK_S,84.37,90.04,90.21,3.01
5/1/25,SI9561,Fort Wadsworth,FtWdswrth,82.44,88.04,87.99,-0.99
5/1/25,SI9591,Hoffman & Swinburne Islands,HffmnIsl,84.57,90.56,90.53,-0.45
5/1/25,SI9592,Miller Field,MllrFld,86.26,92.52,92.52,0.07
5/1/25,SI9593,Great Kills Park,GrtKlsPk,84.57,90.56,90.53,-0.45
